Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,77100,77700,76600,76600,72553.57031,18167057
2021-09-15,77400,77400,76400,77000,72932.42969,12829128
2021-09-16,77300,77400,76100,76100,72079.97656,13067622
2021-09-17,76300,77200,75900,77200,73121.88281,16289502
2021-09-23,77500,77600,76800,77400,73311.3125,17055590
2021-09-24,77600,77700,77100,77300,73216.59375,12247274
2021-09-27,77300,77700,77000,77700,73595.46094,11699798
2021-09-28,77700,77800,76200,76300,72269.42188,15406382
2021-09-29,74800,75300,73800,74100,70519.28125,23992458
2021-09-30,74300,74800,73700,74100,70519.28125,19919361
2021-10-01,73900,74000,72900,73200,69662.78125,15803395
2021-10-05,73000,73000,71400,72200,68711.09375,24013921
2021-10-06,72600,72800,71200,71300,67854.58594,18956962
2021-10-07,71600,72100,71300,71600,68140.08594,13683532
2021-10-08,72300,72400,71500,71500,68044.92188,14043287
2021-10-12,70700,70900,68700,69000,65665.72656,31001484
2021-10-13,68700,69600,68300,68800,65475.38672,24172015
2021-10-14,69000,69800,68800,69400,66046.40625,19520641
2021-10-15,70200,71000,70000,70100,66712.57031,18051612
2021-10-18,70200,70300,69200,70200,66807.75781,13486391
2021-10-19,70800,71000,70400,70600,67188.40625,9507991
2021-10-20,70700,71000,70200,70300,66902.90625,10151638
2021-10-21,70300,70600,70000,70200,66807.75781,10891094
2021-10-22,70000,70700,70000,70400,66998.07813,8395448
2021-10-25,69900,70600,69500,70200,66807.75781,10029621
2021-10-26,70600,71500,70400,71100,67664.23438,10528252
2021-10-27,71000,71000,70000,70100,66712.57031,10295316
2021-10-28,69500,72200,69500,70700,67283.58594,20644902
2021-10-29,71200,71600,69700,69800,66427.07813,17016151
2021-11-01,70200,70600,69900,69900,66522.24219,11503729
2021-11-02,70800,72200,70700,71500,68044.92188,16812570
2021-11-03,71700,71700,70100,70400,66998.07813,12770428
2021-11-04,71200,71600,70500,70600,67188.40625,11818987
2021-11-05,71600,71600,70200,70200,66807.75781,12667743
2021-11-08,70400,70600,69800,70600,67188.40625,11121981
2021-11-09,70300,71000,70100,70500,67093.24219,11159589
2021-11-10,70300,70900,70200,70200,66807.75781,9422009
2021-11-11,69900,70000,69600,69900,66522.24219,11489122
2021-11-12,70200,70900,69900,70600,67188.40625,10087450
2021-11-15,71700,71900,70900,71400,67949.74219,12420710
2021-11-16,71500,72000,71300,71300,67854.58594,10919239
2021-11-17,71300,71600,70600,70700,67283.58594,11027606
2021-11-18,70700,71000,70200,70200,66807.75781,10144957
2021-11-19,70400,71400,70100,71200,67759.42188,11954728
2021-11-22,73300,75200,73000,74900,71280.625,27506623
2021-11-23,76000,76000,74500,75300,71661.28906,22029195
2021-11-24,76000,76200,74100,74800,71185.46094,15652305
2021-11-25,75100,75100,73600,73700,70138.60938,12559258
2021-11-26,73500,74100,72000,72300,68806.25781,13002242
2021-11-29,71700,73000,71400,72300,68806.25781,16682559
2021-11-30,73200,73900,70500,71300,67854.58594,30364841
2021-12-01,72000,74800,71600,74400,70804.78906,21954856
2021-12-02,73900,75800,73800,75800,72137.13281,23652940
2021-12-03,75600,76000,74100,75600,71946.79688,18330240
2021-12-06,75100,76700,74900,76300,72612.97656,16391250
2021-12-07,76100,77700,75600,77400,73659.8125,19232453
2021-12-08,78300,78600,77100,77400,73659.8125,21558340
2021-12-09,77400,78200,77000,78200,74421.16406,21604528
2021-12-10,77400,77600,76800,76900,73183.96875,9155219
2021-12-13,77200,78300,76500,76800,73088.8125,15038750
2021-12-14,76500,77200,76200,77000,73279.14063,10976660
2021-12-15,76400,77600,76300,77600,73850.14844,9584939
2021-12-16,78500,78500,77400,77800,74040.5,11996128
2021-12-17,76800,78000,76800,78000,74230.82813,13108479
2021-12-20,77600,77800,76800,77100,73374.3125,11264375
2021-12-21,77900,78300,77500,78100,74325.99219,14245298
2021-12-22,78900,79400,78800,79400,75563.17188,17105892
2021-12-23,79800,80000,79300,79900,76039.01563,13577498
2021-12-24,80200,80800,80200,80500,76610.00781,12086380
2021-12-27,80600,80600,79800,80200,76324.53125,10783368
2021-12-28,80200,80400,79700,80300,76419.6875,18226325
2021-12-29,80200,80200,78500,78800,75330.82813,19794795
2021-12-30,78900,79500,78100,78300,74852.82813,14236700
2022-01-04,78800,79200,78300,78700,75235.22656,12427416
2022-01-05,78800,79000,76400,77400,73992.45313,25470640
2022-01-06,76700,77600,76600,76900,73514.46094,12931954
2022-01-07,78100,78400,77400,78300,74852.82813,15163757
2022-01-10,78100,78100,77100,78000,74566.04688,9947422
2022-01-11,78400,79000,78000,78900,75426.42188,13221123
2022-01-12,79500,79600,78600,78900,75426.42188,11000502
2022-01-13,79300,79300,77900,77900,74470.46094,13889401
2022-01-14,77700,78100,77100,77300,73896.85938,10096725
2022-01-17,77600,77800,76900,77500,74088.04688,8785122
2022-01-18,77600,77800,76600,77000,73610.0625,9592788
2022-01-19,76500,76900,76100,76300,72940.89063,10598290
2022-01-20,76200,76700,75900,76500,73132.08594,9708168
2022-01-21,75800,75800,74700,75600,72271.70313,15774888
2022-01-24,75400,75800,74700,75100,71793.71094,13691134
2022-01-25,74800,75000,73200,74000,70742.14844,17766704
2022-01-26,74000,74000,74000,74000,70742.14844,0
2022-01-27,73800,74000,71300,71300,68161.01563,22274777
2022-01-28,71300,73700,71200,73300,70072.96875,21367447
2022-02-03,74900,74900,73300,73300,70072.96875,17744721
2022-02-04,74300,74600,73400,74000,70742.14844,12730034
2022-02-07,73500,73600,72400,73000,69786.17188,14240838
2022-02-08,73000,73000,73000,73000,69786.17188,0
2022-02-09,73000,73000,73000,73000,69786.17188,0
2022-02-10,75600,75800,74700,75400,72080.50781,17746033
2022-02-11,75000,75500,74600,74900,71602.52344,12205407
2022-02-14,74400,74500,73100,73700,70455.35156,13993255
2022-02-15,74100,74200,73100,73700,70455.35156,9320365
2022-02-16,74600,74900,74200,74800,71506.92969,10767386
2022-02-17,75000,75600,74500,75000,71698.125,13605382
2022-02-18,74600,74800,73700,74300,71028.94531,10122226
2022-02-21,74300,74300,74300,74300,71028.94531,0
2022-02-22,74300,74300,74300,74300,71028.94531,0
2022-02-23,74300,74300,74300,74300,71028.94531,0
2022-02-24,72300,72300,71300,71500,68352.21094,15759283
2022-02-25,72100,72600,71900,71900,68734.60156,13168484
2022-02-28,71900,71900,71900,71900,68734.60156,0
2022-03-02,72300,72400,71500,71700,68543.40625,12481430
2022-03-03,72300,73100,72200,72900,69690.57813,13232638
2022-03-04,72900,72900,72900,72900,69690.57813,0
2022-03-07,70000,70600,69900,70100,67013.83594,18617138
2022-03-08,68800,70000,68700,69500,66440.25781,15828269
2022-03-10,69500,69500,69500,69500,66440.25781,0
2022-03-11,70500,70700,69700,70000,66918.23438,15787655
2022-03-14,70000,70200,69600,70200,67109.45313,9040993
2022-03-15,70200,70200,70200,70200,67109.45313,0
2022-03-16,70200,70500,69700,70400,67300.63281,10175750
2022-03-17,70400,70400,70400,70400,67300.63281,0
2022-03-18,70600,70900,70200,70700,67587.42969,14410038
2022-03-21,70900,71000,69900,69900,66822.64844,11169002
2022-03-22,69900,70500,69900,70300,67205.03125,9402666
2022-03-23,70600,71200,70300,70500,67396.22656,12398025
2022-03-24,69600,70300,69600,69800,66727.05469,37943357
2022-03-25,70100,70200,69600,69800,66727.05469,12986010
2022-03-28,69500,69900,69200,69700,66631.45313,12619289
2022-03-29,70000,70300,69800,70200,67109.45313,13686208
2022-03-30,70300,70500,69800,69900,67168.05469,12670187
2022-03-31,69900,70200,69600,69600,66879.77344,12510366
2022-04-01,69500,69500,69000,69100,66399.32031,15916846
2022-04-04,68900,69300,68600,69300,66591.50781,11107905
2022-04-05,69400,69600,69100,69200,66495.41406,8467248
2022-04-06,68600,68800,68500,68500,65822.76563,15517308
2022-04-07,68500,68500,68000,68000,65342.3125,20683327
2022-04-08,68100,68300,67700,67800,65150.12891,15453191
2022-04-11,67800,68100,67400,67900,65246.22266,12263735
2022-04-12,67600,67700,67000,67000,64381.40234,13924389
2022-04-13,67300,69000,67200,68700,66014.96094,17378619
2022-04-14,68700,68700,67500,67500,64861.85547,16409494
2022-04-15,67200,67300,66500,66600,63997.02734,13176415
2022-04-18,66500,67100,66100,66700,64093.12891,10119203
2022-04-19,67100,68000,67000,67300,64669.67969,12959434
2022-04-20,67000,67400,66500,67400,64765.75781,16693293
2022-04-21,67600,68300,67500,67700,65054.04297,12847448
2022-04-22,67200,67300,66700,67000,64381.40234,11791478
2022-04-25,66500,66700,66300,66300,63708.75781,11016474
2022-04-26,66400,66700,66100,66100,63516.57422,12946923
2022-04-27,65400,65500,64900,65000,62459.5625,18122084
2022-04-28,65400,65500,64500,64800,62267.38672,16895527
2022-04-29,65100,67600,65000,67400,64765.75781,26190390
2022-05-02,66600,67600,66500,67300,64669.67969,14106184
2022-05-03,67400,68400,67300,67500,64861.85547,14168875
2022-05-04,68000,68400,67500,67900,65246.22266,11505248
2022-05-06,67000,67100,66500,66500,63900.93359,14356156
2022-05-10,65900,66300,65300,65700,63132.19922,17235605
2022-05-11,65500,66300,65200,65700,63132.19922,12330920
2022-05-12,65200,65500,64900,64900,62363.46875,16414188
2022-05-13,65300,66700,65200,66500,63900.93359,14551536
2022-05-16,67100,67400,66100,66300,63708.75781,11937555
2022-05-17,66600,67900,66600,67600,64957.94141,15680447
2022-05-18,68300,68700,67600,68100,65438.39844,16486319
2022-05-19,66500,67600,66500,67500,64861.85547,17073727
2022-05-20,67800,68400,67700,68000,65342.3125,12109671
2022-05-23,68800,68800,67600,67900,65246.22266,13684088
2022-05-24,67500,67700,66500,66500,63900.93359,15482576
2022-05-25,66700,67100,65900,66400,63804.84766,15150490
2022-05-26,66300,67200,65500,65900,63324.39063,15970890
2022-05-27,66700,66900,66200,66500,63900.93359,11405555
2022-05-30,67500,67800,66900,67700,65054.04297,14255484
2022-05-31,67500,67500,66700,67400,64765.75781,24365002
2022-06-02,66600,67000,66400,66700,64093.12891,14959443
2022-06-03,67200,67300,66800,66800,64189.21094,8222883
